cohort_month,month_index,activity_month,cohort_size,is_primary_cohort,is_observable,retained_customers,retention_rate
2009-12-01,0,2009-12-01,951,False,True,951,1.0
2009-12-01,1,2010-01-01,951,False,True,333,0.3501577287066246
2009-12-01,2,2010-02-01,951,False,True,317,0.3333333333333333
2009-12-01,3,2010-03-01,951,False,True,404,0.42481598317560465
2009-12-01,4,2010-04-01,951,False,True,359,0.3774973711882229
2009-12-01,5,2010-05-01,951,False,True,342,0.35962145110410093
2009-12-01,6,2010-06-01,951,False,True,358,0.3764458464773922
2009-12-01,7,2010-07-01,951,False,True,327,0.3438485804416404
2009-12-01,8,2010-08-01,951,False,True,320,0.33648790746582546
2009-12-01,9,2010-09-01,951,False,True,341,0.35856992639327023
2009-12-01,10,2010-10-01,951,False,True,400,0.4206098843322818
2009-12-01,11,2010-11-01,951,False,True,472,0.49631966351209256
2009-12-01,12,2010-12-01,951,False,True,358,0.3764458464773922
2009-12-01,13,2011-01-01,951,False,True,267,0.2807570977917981
2009-12-01,14,2011-02-01,951,False,True,231,0.24290220820189273
2009-12-01,15,2011-03-01,951,False,True,288,0.3028391167192429
2009-12-01,16,2011-04-01,951,False,True,249,0.2618296529968454
2009-12-01,17,2011-05-01,951,False,True,286,0.3007360672975815
2009-12-01,18,2011-06-01,951,False,True,270,0.28391167192429023
2009-12-01,19,2011-07-01,951,False,True,246,0.2586750788643533
2009-12-01,20,2011-08-01,951,False,True,241,0.25341745531019977
2009-12-01,21,2011-09-01,951,False,True,297,0.31230283911671924
2009-12-01,22,2011-10-01,951,False,True,289,0.3038906414300736
2009-12-01,23,2011-11-01,951,False,True,385,0.4048370136698212
2010-01-01,0,2010-01-01,368,False,True,368,1.0
2010-01-01,1,2010-02-01,368,False,True,79,0.21467391304347827
2010-01-01,2,2010-03-01,368,False,True,117,0.3179347826086957
2010-01-01,3,2010-04-01,368,False,True,116,0.31521739130434784
2010-01-01,4,2010-05-01,368,False,True,100,0.2717391304347826
2010-01-01,5,2010-06-01,368,False,True,114,0.30978260869565216
2010-01-01,6,2010-07-01,368,False,True,99,0.26902173913043476
2010-01-01,7,2010-08-01,368,False,True,86,0.23369565217391305
2010-01-01,8,2010-09-01,368,False,True,104,0.2826086956521739
2010-01-01,9,2010-10-01,368,False,True,120,0.32608695652173914
2010-01-01,10,2010-11-01,368,False,True,114,0.30978260869565216
2010-01-01,11,2010-12-01,368,False,True,66,0.1793478260869565
2010-01-01,12,2011-01-01,368,False,True,84,0.22826086956521738
2010-01-01,13,2011-02-01,368,False,True,66,0.1793478260869565
2010-01-01,14,2011-03-01,368,False,True,72,0.1956521739130435
2010-01-01,15,2011-04-01,368,False,True,56,0.15217391304347827
2010-01-01,16,2011-05-01,368,False,True,90,0.24456521739130435
2010-01-01,17,2011-06-01,368,False,True,75,0.20380434782608695
2010-01-01,18,2011-07-01,368,False,True,71,0.19293478260869565
2010-01-01,19,2011-08-01,368,False,True,74,0.20108695652173914
2010-01-01,20,2011-09-01,368,False,True,93,0.25271739130434784
2010-01-01,21,2011-10-01,368,False,True,73,0.1983695652173913
2010-01-01,22,2011-11-01,368,False,True,93,0.25271739130434784
2010-01-01,23,2011-12-01,368,False,False,,
2010-02-01,0,2010-02-01,375,False,True,375,1.0
2010-02-01,1,2010-03-01,375,False,True,87,0.232
2010-02-01,2,2010-04-01,375,False,True,85,0.22666666666666666
2010-02-01,3,2010-05-01,375,False,True,110,0.29333333333333333
2010-02-01,4,2010-06-01,375,False,True,92,0.24533333333333332
2010-02-01,5,2010-07-01,375,False,True,74,0.19733333333333333
2010-02-01,6,2010-08-01,375,False,True,72,0.192
2010-02-01,7,2010-09-01,375,False,True,106,0.2826666666666667
2010-02-01,8,2010-10-01,375,False,True,96,0.256
2010-02-01,9,2010-11-01,375,False,True,104,0.2773333333333333
2010-02-01,10,2010-12-01,375,False,True,43,0.11466666666666667
2010-02-01,11,2011-01-01,375,False,True,47,0.12533333333333332
2010-02-01,12,2011-02-01,375,False,True,57,0.152
2010-02-01,13,2011-03-01,375,False,True,66,0.176
2010-02-01,14,2011-04-01,375,False,True,46,0.12266666666666666
2010-02-01,15,2011-05-01,375,False,True,75,0.2
2010-02-01,16,2011-06-01,375,False,True,60,0.16
2010-02-01,17,2011-07-01,375,False,True,61,0.16266666666666665
2010-02-01,18,2011-08-01,375,False,True,54,0.144
2010-02-01,19,2011-09-01,375,False,True,86,0.22933333333333333
2010-02-01,20,2011-10-01,375,False,True,86,0.22933333333333333
2010-02-01,21,2011-11-01,375,False,True,62,0.16533333333333333
2010-02-01,22,2011-12-01,375,False,False,,
2010-02-01,23,2012-01-01,375,False,False,,
2010-03-01,0,2010-03-01,441,True,True,441,1.0
2010-03-01,1,2010-04-01,441,True,True,84,0.19047619047619047
2010-03-01,2,2010-05-01,441,True,True,102,0.23129251700680273
2010-03-01,3,2010-06-01,441,True,True,107,0.24263038548752835
2010-03-01,4,2010-07-01,441,True,True,102,0.23129251700680273
2010-03-01,5,2010-08-01,441,True,True,88,0.19954648526077098
2010-03-01,6,2010-09-01,441,True,True,109,0.2471655328798186
2010-03-01,7,2010-10-01,441,True,True,135,0.30612244897959184
2010-03-01,8,2010-11-01,441,True,True,122,0.2766439909297052
2010-03-01,9,2010-12-01,441,True,True,48,0.10884353741496598
2010-03-01,10,2011-01-01,441,True,True,49,0.1111111111111111
2010-03-01,11,2011-02-01,441,True,True,64,0.14512471655328799
2010-03-01,12,2011-03-01,441,True,True,87,0.19727891156462585
2010-03-01,13,2011-04-01,441,True,True,72,0.16326530612244897
2010-03-01,14,2011-05-01,441,True,True,88,0.19954648526077098
2010-03-01,15,2011-06-01,441,True,True,75,0.17006802721088435
2010-03-01,16,2011-07-01,441,True,True,77,0.1746031746031746
2010-03-01,17,2011-08-01,441,True,True,69,0.1564625850340136
2010-03-01,18,2011-09-01,441,True,True,78,0.17687074829931973
2010-03-01,19,2011-10-01,441,True,True,90,0.20408163265306123
2010-03-01,20,2011-11-01,441,True,True,94,0.21315192743764172
2010-03-01,21,2011-12-01,441,True,False,,
2010-03-01,22,2012-01-01,441,True,False,,
2010-03-01,23,2012-02-01,441,True,False,,
2010-04-01,0,2010-04-01,294,True,True,294,1.0
2010-04-01,1,2010-05-01,294,True,True,56,0.19047619047619047
2010-04-01,2,2010-06-01,294,True,True,56,0.19047619047619047
2010-04-01,3,2010-07-01,294,True,True,47,0.1598639455782313
2010-04-01,4,2010-08-01,294,True,True,54,0.1836734693877551
2010-04-01,5,2010-09-01,294,True,True,65,0.22108843537414966
2010-04-01,6,2010-10-01,294,True,True,81,0.2755102040816326
2010-04-01,7,2010-11-01,294,True,True,78,0.2653061224489796
2010-04-01,8,2010-12-01,294,True,True,31,0.1054421768707483
2010-04-01,9,2011-01-01,294,True,True,32,0.10884353741496598
2010-04-01,10,2011-02-01,294,True,True,22,0.07482993197278912
2010-04-01,11,2011-03-01,294,True,True,41,0.13945578231292516
2010-04-01,12,2011-04-01,294,True,True,41,0.13945578231292516
2010-04-01,13,2011-05-01,294,True,True,46,0.1564625850340136
2010-04-01,14,2011-06-01,294,True,True,46,0.1564625850340136
2010-04-01,15,2011-07-01,294,True,True,46,0.1564625850340136
2010-04-01,16,2011-08-01,294,True,True,41,0.13945578231292516
2010-04-01,17,2011-09-01,294,True,True,44,0.14965986394557823
2010-04-01,18,2011-10-01,294,True,True,53,0.18027210884353742
2010-04-01,19,2011-11-01,294,True,True,67,0.22789115646258504
2010-04-01,20,2011-12-01,294,True,False,,
2010-04-01,21,2012-01-01,294,True,False,,
2010-04-01,22,2012-02-01,294,True,False,,
2010-04-01,23,2012-03-01,294,True,False,,
2010-05-01,0,2010-05-01,255,True,True,255,1.0
2010-05-01,1,2010-06-01,255,True,True,40,0.1568627450980392
