month_index,mature_cohorts,eligible_customers,retained_customers,retention_rate
0,21,4127,4127,1.0
1,20,3935,814,0.206861499364676
2,19,3714,756,0.2035541195476575
3,18,3526,673,0.19086783891094725
4,17,3419,615,0.17987715706346885
5,16,3318,565,0.1702833031946956
6,15,3210,558,0.17383177570093458
7,14,3099,523,0.16876411745724426
8,13,2993,412,0.1376545272302038
9,12,2813,308,0.10949164592961251
10,11,2689,304,0.11305317962067683
11,10,2617,356,0.13603362628964463
12,9,2541,462,0.18181818181818182
13,8,2217,370,0.16689219666215607
14,7,1841,291,0.15806626833242804
15,6,1602,250,0.1560549313358302
16,5,1440,231,0.16041666666666668
17,4,1256,209,0.1664012738853503
18,3,990,170,0.1717171717171717
19,2,735,157,0.21360544217687075
20,1,441,94,0.21315192743764172
21,0,0,0,
22,0,0,0,
23,0,0,0,
