feature,group,cohort_month,eligible_customers,repeat_customers,repeat_rate_90d
first_order_value_band,Under GBP 50,2010-03-01,12,2,
first_order_value_band,Under GBP 50,2010-04-01,10,3,
first_order_value_band,Under GBP 50,2010-05-01,7,0,
first_order_value_band,Under GBP 50,2010-06-01,7,1,
first_order_value_band,Under GBP 50,2010-07-01,11,2,
first_order_value_band,Under GBP 50,2010-08-01,4,1,
first_order_value_band,Under GBP 50,2010-09-01,4,2,
first_order_value_band,Under GBP 50,2010-10-01,7,3,
first_order_value_band,Under GBP 50,2010-11-01,2,0,
first_order_value_band,Under GBP 50,2010-12-01,2,0,
first_order_value_band,Under GBP 50,2011-01-01,1,1,
first_order_value_band,Under GBP 50,2011-02-01,3,1,
first_order_value_band,Under GBP 50,2011-03-01,6,2,
first_order_value_band,Under GBP 50,2011-04-01,5,1,
first_order_value_band,Under GBP 50,2011-05-01,1,0,
first_order_value_band,Under GBP 50,2011-06-01,2,0,
first_order_value_band,Under GBP 50,2011-07-01,2,1,
first_order_value_band,Under GBP 50,2011-08-01,4,3,
first_order_value_band,Under GBP 50,2011-09-01,0,0,
first_order_value_band,GBP 50-<100,2010-03-01,22,7,0.3181818181818182
first_order_value_band,GBP 50-<100,2010-04-01,10,3,
first_order_value_band,GBP 50-<100,2010-05-01,14,5,
first_order_value_band,GBP 50-<100,2010-06-01,15,7,
first_order_value_band,GBP 50-<100,2010-07-01,17,4,
first_order_value_band,GBP 50-<100,2010-08-01,5,2,
first_order_value_band,GBP 50-<100,2010-09-01,8,4,
first_order_value_band,GBP 50-<100,2010-10-01,21,6,0.2857142857142857
first_order_value_band,GBP 50-<100,2010-11-01,21,4,0.19047619047619047
first_order_value_band,GBP 50-<100,2010-12-01,9,1,
first_order_value_band,GBP 50-<100,2011-01-01,5,2,
first_order_value_band,GBP 50-<100,2011-02-01,12,3,
first_order_value_band,GBP 50-<100,2011-03-01,9,3,
first_order_value_band,GBP 50-<100,2011-04-01,4,0,
first_order_value_band,GBP 50-<100,2011-05-01,13,7,
first_order_value_band,GBP 50-<100,2011-06-01,11,6,
first_order_value_band,GBP 50-<100,2011-07-01,2,0,
first_order_value_band,GBP 50-<100,2011-08-01,7,1,
first_order_value_band,GBP 50-<100,2011-09-01,0,0,
first_order_value_band,GBP 100-<250,2010-03-01,143,51,0.35664335664335667
first_order_value_band,GBP 100-<250,2010-04-01,93,26,0.27956989247311825
first_order_value_band,GBP 100-<250,2010-05-01,102,27,0.2647058823529412
first_order_value_band,GBP 100-<250,2010-06-01,101,29,0.2871287128712871
first_order_value_band,GBP 100-<250,2010-07-01,67,22,0.3283582089552239
first_order_value_band,GBP 100-<250,2010-08-01,67,33,0.4925373134328358
first_order_value_band,GBP 100-<250,2010-09-01,91,38,0.4175824175824176
first_order_value_band,GBP 100-<250,2010-10-01,130,50,0.38461538461538464
first_order_value_band,GBP 100-<250,2010-11-01,124,44,0.3548387096774194
first_order_value_band,GBP 100-<250,2010-12-01,28,3,0.10714285714285714
first_order_value_band,GBP 100-<250,2011-01-01,29,8,0.27586206896551724
first_order_value_band,GBP 100-<250,2011-02-01,48,16,0.3333333333333333
first_order_value_band,GBP 100-<250,2011-03-01,65,23,0.35384615384615387
first_order_value_band,GBP 100-<250,2011-04-01,34,11,0.3235294117647059
first_order_value_band,GBP 100-<250,2011-05-01,40,18,0.45
first_order_value_band,GBP 100-<250,2011-06-01,42,14,0.3333333333333333
first_order_value_band,GBP 100-<250,2011-07-01,39,22,0.5641025641025641
first_order_value_band,GBP 100-<250,2011-08-01,36,11,0.3055555555555556
first_order_value_band,GBP 100-<250,2011-09-01,2,1,
first_order_value_band,GBP 250+,2010-03-01,264,133,0.5037878787878788
first_order_value_band,GBP 250+,2010-04-01,181,84,0.46408839779005523
first_order_value_band,GBP 250+,2010-05-01,132,62,0.4696969696969697
first_order_value_band,GBP 250+,2010-06-01,143,66,0.46153846153846156
first_order_value_band,GBP 250+,2010-07-01,89,53,0.5955056179775281
first_order_value_band,GBP 250+,2010-08-01,86,48,0.5581395348837209
first_order_value_band,GBP 250+,2010-09-01,136,64,0.47058823529411764
first_order_value_band,GBP 250+,2010-10-01,218,92,0.42201834862385323
first_order_value_band,GBP 250+,2010-11-01,177,64,0.3615819209039548
first_order_value_band,GBP 250+,2010-12-01,37,8,0.21621621621621623
first_order_value_band,GBP 250+,2011-01-01,37,19,0.5135135135135135
first_order_value_band,GBP 250+,2011-02-01,61,19,0.3114754098360656
first_order_value_band,GBP 250+,2011-03-01,100,48,0.48
first_order_value_band,GBP 250+,2011-04-01,63,28,0.4444444444444444
first_order_value_band,GBP 250+,2011-05-01,57,23,0.40350877192982454
first_order_value_band,GBP 250+,2011-06-01,53,34,0.6415094339622641
first_order_value_band,GBP 250+,2011-07-01,58,33,0.5689655172413793
first_order_value_band,GBP 250+,2011-08-01,60,39,0.65
first_order_value_band,GBP 250+,2011-09-01,1,0,
first_order_product_band,1 product,2010-03-01,10,3,
first_order_product_band,1 product,2010-04-01,14,5,
first_order_product_band,1 product,2010-05-01,8,1,
first_order_product_band,1 product,2010-06-01,14,3,
first_order_product_band,1 product,2010-07-01,10,1,
first_order_product_band,1 product,2010-08-01,7,0,
first_order_product_band,1 product,2010-09-01,7,3,
first_order_product_band,1 product,2010-10-01,11,3,
first_order_product_band,1 product,2010-11-01,8,0,
first_order_product_band,1 product,2010-12-01,5,0,
first_order_product_band,1 product,2011-01-01,6,1,
first_order_product_band,1 product,2011-02-01,7,0,
first_order_product_band,1 product,2011-03-01,6,1,
first_order_product_band,1 product,2011-04-01,5,0,
first_order_product_band,1 product,2011-05-01,5,0,
first_order_product_band,1 product,2011-06-01,3,1,
first_order_product_band,1 product,2011-07-01,4,2,
first_order_product_band,1 product,2011-08-01,5,0,
first_order_product_band,1 product,2011-09-01,2,1,
first_order_product_band,2-5 products,2010-03-01,42,15,0.35714285714285715
first_order_product_band,2-5 products,2010-04-01,30,8,0.26666666666666666
first_order_product_band,2-5 products,2010-05-01,24,4,0.16666666666666666
first_order_product_band,2-5 products,2010-06-01,20,12,0.6
first_order_product_band,2-5 products,2010-07-01,28,9,0.32142857142857145
first_order_product_band,2-5 products,2010-08-01,10,5,
first_order_product_band,2-5 products,2010-09-01,23,11,0.4782608695652174
first_order_product_band,2-5 products,2010-10-01,29,9,0.3103448275862069
