feature,group,eligible_customers,repeat_customers,publishable,repeat_rate_90d,wilson_low,wilson_high,mean_observed_sales_90d_gbp,median_observed_sales_90d_gbp
first_order_value_band,Under GBP 50,90,23,False,,,,,
first_order_value_band,GBP 50-<100,205,65,True,0.3170731707317073,0.25723710030316416,0.3836388042058487,161.378683,88.700000
first_order_value_band,GBP 100-<250,1281,447,True,0.34894613583138173,0.32333165435428746,0.37546386835929924,304.776394,204.250000
first_order_value_band,GBP 250+,1953,917,True,0.46953405017921146,0.44748154523076566,0.49170617002148753,990.777671,610.450000
first_order_product_band,1 product,137,25,True,0.18248175182481752,0.1267685353952011,0.255515624904785,607.990073,132.000000
first_order_product_band,2-5 products,342,124,True,0.36257309941520466,0.3134098973925976,0.4147892597572237,572.497018,175.675000
first_order_product_band,6+ products,3050,1303,True,0.42721311475409834,0.4097598272469127,0.44484952101589464,698.568224,404.375000
first_order_geography,United Kingdom,3185,1309,True,0.41098901098901097,0.3940190257868521,0.42817345153696884,652.068472,351.900000
first_order_geography,Other known country,340,142,True,0.4176470588235294,0.36643151084953623,0.47070273063469753,974.973356,580.675000
first_order_geography,Unknown,4,1,False,,,,,
