month,orders,gross_merchandise_sales_gbp,identified_orders,identified_sales_gbp,active_customers,new_observed_customers,returning_customers,previous_month_sales_gbp,unidentified_orders,unidentified_sales_gbp,average_order_value_gbp,returning_customer_share,identified_order_share,identified_sales_share,sales_mom_growth
2009-12-01,1665,797558.340000,1496,677573.250000,951,951,0,,169,119985.090000,479.014018,0.0,0.8984984984984985,0.8495594817552783,
2010-01-01,1048,610665.932000,959,533712.982000,701,368,333,797558.340000,89,76952.950000,582.696500,0.47503566333808844,0.9150763358778626,0.8739851922834954,-0.2343307048861153
2010-02-01,1189,537909.676000,1093,497937.576000,771,375,396,610665.932000,96,39972.100000,452.405110,0.5136186770428015,0.9192598822539949,0.9256899405542577,-0.11914248394652543
2010-03-01,1642,755578.671000,1505,661740.961000,1049,441,608,537909.676000,137,93837.710000,460.157534,0.5795996186844614,0.9165651644336176,0.8758068304445297,0.40465714730887276
2010-04-01,1433,645291.652000,1313,584078.152000,938,294,644,755578.671000,120,61213.500000,450.308201,0.6865671641791045,0.9162595952547103,0.9051382428235721,-0.14596364777480597
2010-05-01,1483,642102.770000,1364,591344.870000,965,255,710,645291.652000,119,50757.900000,432.975570,0.7357512953367875,0.9197572488199596,0.9209505045430656,-0.004941768563279042
2010-06-01,1610,695766.410000,1477,627992.620000,1033,266,767,642102.770000,133,67773.790000,432.153050,0.7424975798644724,0.9173913043478261,0.9025911728046773,0.08357484581479067
2010-07-01,1506,632720.360000,1361,581214.000000,923,184,739,695766.410000,145,51506.360000,420.133041,0.800650054171181,0.9037184594953519,0.918595380746085,-0.0906138167837105
2010-08-01,1393,662154.780000,1269,591765.510000,906,162,744,632720.360000,124,70389.270000,475.344422,0.8211920529801324,0.9109834888729361,0.893696652012389,0.04652042491567681
2010-09-01,1780,865079.981000,1650,801381.671000,1128,239,889,662154.780000,130,63698.310000,485.999989,0.7881205673758865,0.9269662921348315,0.9263671436179032,0.30646188342852404
2010-10-01,2242,1093770.340000,2107,1011196.070000,1491,376,1115,865079.981000,135,82574.270000,487.854746,0.7478202548625084,0.93978590544157,0.9245049285209177,0.26435747447957647
2010-11-01,2712,1423885.232000,2564,1153688.732000,1604,324,1280,1093770.340000,148,270196.500000,525.031428,0.7980049875311721,0.9454277286135693,0.8102399730486144,0.3018137171282227
2010-12-01,1549,775440.040000,1393,565001.240000,884,76,808,1423885.232000,156,210438.800000,500.606869,0.9140271493212669,0.8992898644286637,0.7286201522428478,-0.45540551824474573
2011-01-01,1074,664925.640000,977,559235.750000,735,72,663,775440.040000,97,105689.890000,619.111397,0.9020408163265307,0.909683426443203,0.84105006087598,-0.14251830483244068
2011-02-01,1085,499710.090000,987,437707.080000,754,124,630,664925.640000,98,62003.010000,460.562295,0.8355437665782494,0.9096774193548387,0.8759220371155604,-0.24847222014178907
2011-03-01,1434,659068.930000,1309,581752.650000,971,180,791,499710.090000,125,77316.280000,459.601764,0.8146240988671473,0.9128312412831241,0.8826886286385857,0.318902586097471
2011-04-01,1229,512756.871000,1135,453093.151000,851,106,745,659068.930000,94,59663.720000,417.214704,0.8754406580493537,0.9235150528885273,0.8836413057056821,-0.22199811330811786
2011-05-01,1663,736844.740000,1540,657206.180000,1052,111,941,512756.871000,123,79638.560000,443.081624,0.8944866920152091,0.926037282020445,0.8919194836079037,0.4370255801018803
2011-06-01,1524,737187.600000,1389,652893.540000,989,108,881,736844.740000,135,84294.060000,483.718898,0.890798786653185,0.9114173228346457,0.8856545335271511,0.00046530833619033506
2011-07-01,1451,686570.971000,1321,591431.291000,946,101,845,737187.600000,130,95139.680000,473.170897,0.8932346723044398,0.9104066161268091,0.8614277561700172,-0.06866180196194294
2011-08-01,1337,723134.750000,1265,634515.960000,931,107,824,686570.971000,72,88618.790000,540.863687,0.8850698174006445,0.9461480927449514,0.8774518995249502,0.053255643690767115
2011-09-01,1817,1024404.361000,1738,934836.611000,1258,188,1070,723134.750000,79,89567.750000,563.788861,0.8505564387917329,0.9565217391304348,0.9125660204017816,0.41661614380998835
2011-10-01,2003,1102398.680000,1901,1001410.990000,1360,221,1139,1024404.361000,102,100987.690000,550.373779,0.8375,0.9490763854218672,0.9083927694833598,0.07613626217274568
2011-11-01,2746,1448090.410000,2638,1135645.150000,1659,192,1467,1102398.680000,108,312445.260000,527.345379,0.8842676311030742,0.9606700655498908,0.7842363585571981,0.3135814077716421
