stock_code,product_role,evidence_description,evidence_rows_before_cutoff,decision_reason
10002,merchandise,INFLATABLE POLITICAL GLOBE,391,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
10002R,merchandise,ROBOT PENCIL SHARPNER,3,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
10080,merchandise,GROOVY CACTUS INFLATABLE,28,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
10109,merchandise,BENDY COLOUR PENCILS,1,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
10120,merchandise,DOGGY RUBBER,76,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
10123C,merchandise,HEARTS WRAPPING TAPE,67,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
10123G,merchandise,ARMY CAMO WRAPPING TAPE,17,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
10124A,merchandise,SPOTS ON RED BOOKCOVER TAPE,19,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
10124C,unresolved,,0,No descriptive positive-purchase evidence before cutoff
10124G,merchandise,ARMY CAMO BOOKCOVER TAPE,11,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
10125,merchandise,MINI FUNKY DESIGN TAPES,179,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
10133,merchandise,COLOURING PENCILS BROWN TUBE,299,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
10134,merchandise,COLOURING PENCILS BROWN TUBE,56,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
10135,merchandise,COLOURING PENCILS BROWN TUBE,333,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
10138,merchandise,ASSORTED COLOUR JUMBO PEN,21,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
11001,merchandise,ASSTD DESIGN RACING CAR PEN,260,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
